"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","qp_pow","rho","violation_sum","maxviolation","meanviolation",
0,241.6223,810.3663,0.00018955,NaN,NaN,NaN,NaN,NaN,1,774.7772,1.8204,0.19481,
1,468.1007,26037347004930.21,2.0712,1,0,1.6256,0,1,3300999992434.725,925.0682,1.2721,0.15742,
2,787.4496,56151597115.5606,3.6231,1,0,0.46251,1,1,3300999992434.725,717.1849,0.75908,0.1082,
3,918.3747,15084169185.0436,5.1956,1,0,0.36833,1,1,3300999992434.725,370.5788,0.40598,0.063754,
4,921.6611,6263710499.5498,6.8755,1,0,0.23003,1,1,3300999992434.725,344.7285,0.39997,0.053935,
5,921.0499,1.88727152767398e+16,8.2752,0.0625,0,0.39499,1,1,7823061528528467,345.2496,0.36556,0.052666,
6,916.7041,1648924109.435,9.6318,1,0,0.56406,1,1,7823061528528467,372.2743,0.39733,0.049161,
7,913.2988,3126486275.2477,11.4156,0.5,0,0.79521,1,1,7823061528528467,385.8692,0.35049,0.040705,
8,919.7868,2308901716.0377,12.9884,1,0,0.42432,1,1,7823061528528467,343.8273,0.1456,0.022248,
9,913.668,2599004725.0853,14.5256,1,0,0.56586,1,1,7823061528528467,354.313,0.20266,0.015341,
10,914.609,349765524.0371,15.9328,1,0,0.24197,1,1,7823061528528467,348.7149,0.068075,0.0076811,
11,914.756,45839992.7437,17.2523,1,0,0.15612,1,1,7823061528528467,350.8178,0.051813,0.0055756,
12,914.7342,19536092356722.49,18.7083,1,0,0.2471,-3,1,7823061528528467,350.7645,0.032282,0.0040061,
13,914.739,1171708559.9919,20.0419,0.25,0,0.0011156,1,1,7823061528528467,350.736,0.032254,0.0039848,
14,914.8373,14755367.9359,21.3784,1,0,0.039609,1,1,7823061528528467,350.8981,0.030483,0.0037673,
15,914.8373,2049464.5178,22.7322,4.4409e-16,1,5.0674e-16,-2,1,7823061528528467,350.8981,0.030483,0.0037673,
