"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,-0.20408,4.8286,0.00022579,NaN,NaN,NaN,NaN,0.46945,0.10054,
1,-0.4644,3.2088,0.078328,1,0,1.1596,1,1.7771e-14,2.049e-15,
2,-0.57131,0.37857,0.15589,0.5,0,0.21333,1,1.5161e-12,6.7385e-14,
3,-0.60775,0.21414,0.22159,0.5,0,0.11716,1,5.9348e-13,2.3739e-14,
4,-0.62062,0.12138,0.29789,0.5,0,0.06725,1,0,0,
5,-0.62828,0.018744,0.3684,1,0,0.078743,1,2.8576e-12,1.143e-13,
6,-0.62845,0.0039039,0.43138,1,0,0.016451,1,5.7575e-13,3.0201e-14,
7,-0.62846,0.0010135,0.50451,1,0,0.0042744,1,6.874e-13,3.4641e-14,
8,-0.62846,0.00028927,0.56877,1,0,0.0012203,1,6.7987e-13,5.2687e-14,
9,-0.62846,8.6974e-05,0.63661,1,0,0.00036692,1,2.5284e-13,2.1762e-14,
