,RALM,REPM(LQH),REPM(LSE),fmincon SQO,RSQO
0,0.0,0.0,0.0,0.06932999999999999,0.00020014
1,0.37998000000000004,0.32165,0.502,0.07658200000000001,0.26636
2,0.9118,0.60219,0.9164399999999999,0.10232999999999999,0.35181
3,1.4576,1.0714,1.0193,0.10582000000000001,0.44973
4,1.6539,1.6265,1.1759,0.11873,0.54066
5,1.7075,2.1836,1.7512,0.12147000000000001,0.6662399999999999
6,1.7456,2.7891,2.3532,0.12382,0.73826
7,1.768,3.3762,2.9144,0.1262,0.80888
8,1.7763,3.9499,3.4797,0.14075,0.8836700000000001
9,1.8295,4.5285,4.0405,0.14357999999999999,0.95393
10,1.8373,5.0942,4.6041,0.14601,1.0236
11,1.8456,5.6569,5.1562,0.14836,1.0892
12,1.8539,6.2299,5.1683,0.15070999999999998,1.1555
13,1.8626,6.2439,5.1805,0.16918,1.2271
14,1.8708,6.2577,5.1926,0.18679,1.2736
15,1.8792,6.2719,5.2062,0.19894,1.3483
16,1.8904,6.2865,5.2185,0.20178,1.3819
17,1.9181,6.301,5.2324,0.20415,1.422
18,1.9380000000000002,6.3148,5.2452,0.20654,1.4539
19,1.9485,6.3297,5.257999999999999,0.21745,1.4866
20,1.9599,6.3445,5.2711,0.22666999999999998,1.5216
21,1.9804,6.3611,5.2852,0.22937,1.5564
22,1.9922,6.3765,5.2979,0.2318,1.5904
23,2.0115,6.3912,5.3117,0.23418000000000003,1.6249
24,2.031,6.4059,5.3245,0.25205,1.6592
25,2.0495,6.4199,5.3387,0.255,1.6969
26,2.0696,6.435,5.352,0.25763,1.7305
27,2.0885,6.4479,5.3664,0.26,1.7654
28,2.108,6.4619,5.3789,0.27558,1.7994
29,2.1275,6.4756,5.3924,0.27834000000000003,1.8337
30,2.148,6.4907,5.405,0.28068000000000004,1.8665
